구분,화장실명,소재지도로명주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,연락처,개방시간,설치년도,소재지지번주소,LON,LAT,데이터기준일자
공중화장실,브라이튼오피스텔,경기도 안산시 상록구 광덕1로 354 (이동),N,2,2,0,0,0,0,2,0,0,관리소장,,24시간,2004-11-20,,126.849273,37.3066375,2016-05-31
공중화장실,다복주유소,경기도 안산시 단원구 시흥대로 128 (선부동),N,2,2,0,0,0,0,2,0,0,김영종,,24시간,1995-05-00,,126.8022951,37.3528381,2016-05-31
공중화장실,대상주유소,경기도 안산시 단원구 순환로 157 (선부동),N,2,2,0,0,0,0,2,0,0,박진승,,24시간,1993-00-00,,126.8087181,37.3498609,2016-05-31
개방화장실,서안산주유소,경기도 안산시 단원구 시흥대로 65 (선부동),N,2,2,0,0,0,0,2,0,0,임옥경,,24시간,1994-00-00,,126.7964888,37.3496278,2016-05-31
공중화장실,서해주유소,경기도 안산시 단원구 시흥대로 10 (선부동),N,2,2,0,0,0,0,2,0,0,김영기,,24시간,2001-09-21,,126.7954688,37.3445406,2016-05-31
공중화장실,한대역주유소,경기도 안산시 상록구 광덕4로 357 (이동),N,1,2,1,1,0,0,1,1,0,㈜대한석유,,24시간,2001-11-00,,126.8506485,37.3115265,2016-05-31
공중화장실,선부주유소,경기도 안산시 단원구 선부로 81 (선부동),N,1,1,0,0,0,0,1,0,0,㈜대지석유,,24시간,1993-02-11,,126.8040587,37.3413475,2016-05-31
공중화장실,한양주유소,경기도 안산시 단원구 화정천서로 507 (선부동),N,1,1,0,0,0,0,0,0,0,㈜SK,,24시간,1992-11-00,,126.8176076,37.342263,2016-05-31
공중화장실,구룡체육관,경기도 안산시 상록구 구룡체육관로 21 (이동),N,2,2,1,1,0,0,2,1,0,안산도시공사장,,24시간,1993-09-01,,126.8605049,37.3082227,2016-05-31
공중화장실,일동도서관,경기도 안산시 상록구 구룡로 71 (일동),N,2,2,1,1,0,0,4,1,0,감골도서관장,,24시간,1986-10-23,,126.8715832,37.3154507,2016-05-31
